Instructor,Term,Course,RcmndClass,RcmndInstr,Study Hrs/wk,Avg Grade Received
"Pilegard, Celeste Cristine",SP21,PSYC 87 - Freshman Seminar (A),100.0%,100.0%,0.96,N/A
"Dobkins, Karen R.",SP21,PSYC 88 - Learning Sustainable Wellbeing (A),100.0%,100.0%,1.59,N/A
"Willis, Jarryd Thomas",WI21,PSYC 1 - Psychology (A),98.2%,98.2%,4.06,A- (3.87)
"Chapman, Eddie Nathaniel",WI21,PSYC 100 - Clinical Psychology (A),91.4%,86.5%,6.21,A- (3.73)
"Chapman, Eddie Nathaniel",WI21,PSYC 100 - Clinical Psychology (B),95.2%,95.2%,6.50,B+ (3.69)
"Hanes, Esther",WI21,PSYC 101 - Developmental Psychology (A),93.1%,92.3%,5.09,B+ (3.49)
"Moranton, Nirelia Melbina-",WI21,PSYC 102 - Sensory Neuroscience (A),89.2%,88.9%,6.34,B+ (3.33)
"Frederick, David A",WI21,PSYC 104 - Social Psychology (A),92.4%,94.2%,8.55,B+ (3.39)
"Lowe, Angela Beth",WI21,PSYC 105 - Cognitive Psychology (A),91.4%,93.8%,5.07,B (3.21)
"Lowe, Angela Beth",WI21,PSYC 105 - Cognitive Psychology (B),95.5%,100.0%,5.86,B+ (3.37)
"Dobkins, Karen R.",WI21,PSYC 106 - Behavioral Neuroscience (A),100.0%,99.3%,4.45,A- (3.73)
"Urgolites, Zhisen Jiang",WI21,PSYC 108 - Cognitive Neuroscience (A),99.3%,96.6%,4.43,A- (3.71)
"Heyman, Gail D.",WI21,PSYC 110 - Junior Honors Research Seminar (A),100.0%,85.0%,3.36,A (4.00)
"Geller, Emma Harlan",WI21,PSYC 111A - Research Methods I (A),97.1%,100.0%,11.03,B+ (3.69)
"Pashler, Harold E",WI21,PSYC 115A - Lab/Cognitive Psychology I (A),66.7%,83.3%,5.50,N/A
"Miller, Cory T.",WI21,PSYC 118 - Laboratory in Animal Behavior (A),72.7%,72.7%,3.77,A- (3.87)
"Moranton, Nirelia Melbina-",WI21,PSYC 122 - Mechanisms of Animal Behavior (A),88.9%,83.3%,5.50,B+ (3.68)
"Sundby, Kelsey Kathleen",WI21,PSYC 123 - Cognitive Control/Frontal Lobe (A),92.3%,100.0%,5.88,N/A
"Dickenson, Janna Alene",WI21,PSYC 124 - Clinical Assessment/Treatment (A),95.8%,95.7%,4.47,A- (3.73)
"Anagnostaras, Stephan",WI21,PSYC 131 - Scientific Racism (A),93.0%,89.5%,3.41,A- (3.88)
"Sousa, Margarette Pamela-Burd",WI21,PSYC 137 - Social Cognition (B),86.4%,86.4%,5.23,B+ (3.50)
"Wixted, John T",WI21,PSYC 144 - Memory and Amnesia (A),84.3%,85.5%,5.42,B (3.16)
"Mc Kenzie, Craig R.M.",WI21,PSYC 148 - Psychology/Judgement&Decision (A),80.4%,82.6%,5.41,B (3.18)
"Glaser, Dale",WI21,PSYC 151 - Tests and Measurement (A),93.3%,93.3%,3.63,B (3.28)
"Harris, Christine Renee",WI21,PSYC 153 - Psychology of Emotion (A),82.4%,75.9%,6.33,B (3.11)
"Lacefield, Katharine I",WI21,PSYC 154 - Behavior Modification (A),96.8%,98.1%,4.15,A- (3.75)
"Pashler, Harold E",WI21,PSYC 161 - Engineering Psychology (A),40.5%,43.2%,4.33,B (3.10)
"Hanes, Esther",WI21,PSYC 164 - Criminology (A),94.0%,91.4%,4.73,B+ (3.69)
"Ramachandran, Vilayanur S",WI21,PSYC 169 - Brain Damage & Mental Function (A),58.3%,42.9%,6.11,B- (2.89)
"Dobkins, Karen R.",WI21,PSYC 175 - Science of Mindfulness (A),100.0%,100.0%,2.83,N/A
"Anagnostaras, Stephan",WI21,PSYC 181 - Drugs And Behavior (A),94.7%,94.0%,4.09,A- (3.81)
"Swan, Garrett Preston",WI21,PSYC 182 - Illusions and the Brain (A),97.0%,99.2%,3.18,B+ (3.69)
"Aron, Adam",WI21,PSYC 185 - Psychology Climate Crisis (A),77.8%,77.8%,4.89,A- (3.71)
"Barner, David A.",WI21,PSYC 190 - The Science of Parenting (A),98.6%,95.8%,4.65,B+ (3.55)
"Rickard, Timothy C.",WI21,PSYC 191 - Psychology of Sleep (A),81.8%,84.1%,4.86,B (3.18)
"Pilegard, Celeste Cristine",WI21,PSYC 193 - Topics in Psychology (A),100.0%,100.0%,5.06,B+ (3.59)
"Gremel, Christina M",WI21,PSYC 193 - Topics in Psychology (B),100.0%,100.0%,3.17,N/A
"Frederick, David A",WI21,PSYC 193L - Psychology Laboratory Topics (A),100.0%,100.0%,5.74,A- (3.91)
"Heyman, Gail D.",WI21,PSYC 194B - Honors Thesis II (A),100.0%,100.0%,6.79,N/A
"Dickenson, Janna Alene",WI21,PSYC 2 - Gen Psych:Biological Foundatns (A),93.2%,94.8%,4.78,B+ (3.65)
"Chapman, Eddie Nathaniel",WI21,PSYC 4 - General Psychology: Behavioral (A),82.8%,80.4%,3.34,B+ (3.48)
"Chapman, Eddie Nathaniel",WI21,PSYC 4 - General Psychology: Behavioral (B),90.9%,90.0%,5.77,B (3.13)
"Lowe, Angela Beth",WI21,PSYC 60 - Introduction to Statistics (A),84.1%,96.0%,5.51,B (3.24)
"Lowe, Angela Beth",WI21,PSYC 60 - Introduction to Statistics (B),93.9%,97.0%,5.53,B- (2.97)
"Rose, Fred E.",WI21,PSYC 60 - Introduction to Statistics (C),92.5%,98.1%,6.01,B (3.27)
"Geller, Emma Harlan",WI21,PSYC 70 - Research Methods in Psychology (A),97.7%,98.9%,5.97,B (3.06)
"Steiner, Eric Tomas",WI21,PSYC 70 - Research Methods in Psychology (B),94.0%,97.0%,5.18,B (3.15)
"Pilegard, Celeste Cristine",WI21,PSYC 71 - Lab/Psych Research Methods (A),84.8%,93.9%,5.59,B+ (3.35)
"Ferreira, Victor",FA20,PSYC 1 - Psychology (A),94.5%,98.8%,3.87,B (3.18)
"Ferreira, Victor",FA20,PSYC 1 - Psychology (B),90.5%,100.0%,3.64,B (3.23)
"Rose, Fred E.",FA20,PSYC 100 - Clinical Psychology (A),100.0%,100.0%,6.08,A- (3.76)
"Heyman, Gail D.",FA20,PSYC 101 - Developmental Psychology (A),94.2%,93.5%,5.74,B+ (3.39)
"Serences, John Thomas",FA20,PSYC 102 - Sensory Neuroscience (A),94.8%,97.4%,4.86,B+ (3.64)
"Frederick, David A",FA20,PSYC 104 - Social Psychology (A),94.9%,94.9%,8.16,B+ (3.54)
"Geller, Emma Harlan",FA20,PSYC 105 - Cognitive Psychology (A),97.2%,97.9%,5.59,B+ (3.34)
"Dickenson, Janna Alene",FA20,PSYC 124 - Clinical Assessment/Treatment (A),58.0%,57.1%,5.26,A- (3.74)
"Dickenson, Janna Alene",FA20,PSYC 124 - Clinical Assessment/Treatment (B),89.5%,84.2%,3.87,A- (3.79)
"Steiner, Eric Tomas",FA20,PSYC 132 - Hormones and Behavior (A),95.0%,96.0%,6.36,B (3.11)
"Golden, Susan S.",FA20,PSYC 133 - Circadian Rhythms-Bio Clocks (A),77.4%,90.6%,7.37,B+ (3.43)
"Gorman, Michael R.",FA20,PSYC 133 - Circadian Rhythms-Bio Clocks (A),77.4%,88.7%,7.37,B+ (3.43)
"Kaye, Walter H.",FA20,PSYC 134 - Eating Disorders (A),88.6%,85.1%,4.39,B+ (3.33)
"McCullough, Michael E",FA20,PSYC 141 - Evolution and Human Nature (A),96.8%,98.9%,5.15,B+ (3.43)
"Gasperi, Marianna",FA20,PSYC 152 - Conceptions of Intelligence (A),95.4%,97.4%,4.69,B+ (3.35)
"Willis, Jarryd Thomas",FA20,PSYC 155 - Social Psychology and Medicine (A),96.2%,94.3%,4.37,A- (3.92)
"Geiss, Elisa G",FA20,PSYC 156 - Cognitive Development/Infancy (A),90.0%,90.0%,6.77,B+ (3.49)
"Wixted, John T",FA20,PSYC 162 - Psychology and the Law (A),95.9%,97.0%,5.09,B (3.19)
"Walker, Caren Michelle",FA20,PSYC 167 - Science of Imagination (A),100.0%,100.0%,4.38,B+ (3.56)
"Chapman, Eddie Nathaniel",FA20,PSYC 168 - Psychological Disorders/Child (A),93.5%,84.0%,5.05,A- (3.78)
"Chapman, Eddie Nathaniel",FA20,PSYC 168 - Psychological Disorders/Child (B),86.7%,60.0%,3.97,A- (3.84)
"Swan, Garrett Preston",FA20,PSYC 174 - Visual Cognition (A),100.0%,100.0%,4.08,B (3.29)
"Glaser, Dale",FA20,PSYC 178 - Industrial Organizational Psyc (A),96.1%,100.0%,3.64,B+ (3.61)
"Glaser, Dale",FA20,PSYC 178 - Industrial Organizational Psyc (B),100.0%,100.0%,3.75,N/A
"Lacefield, Katharine I",FA20,"PSYC 179 - Drugs,Addiction&Mental Disordr (A)",97.4%,99.3%,4.32,B+ (3.68)
"Hanes, Esther",FA20,PSYC 180 - Adolescence (A),98.2%,98.2%,4.63,B+ (3.48)
"Wilson, Brent M",FA20,PSYC 184 - Choice and Self-Control (A),98.4%,98.3%,4.11,A- (3.82)
"George, Olivier",FA20,PSYC 188 - Impulse Control Disorders (A),98.5%,95.5%,4.58,B+ (3.53)
"Fan, Judith Ellen",FA20,PSYC 193 - Topics in Psychology (A),100.0%,100.0%,7.00,N/A
"Wilson, Brent M",FA20,PSYC 193 - Topics in Psychology (C),100.0%,100.0%,3.67,B+ (3.69)
"Harris, Christine Renee",FA20,PSYC 193 - Topics in Psychology (D),90.0%,100.0%,4.86,N/A
"Frederick, David A",FA20,PSYC 193L - Psychology Laboratory Topics (A),97.7%,100.0%,7.20,A- (3.72)
"Lacefield, Katharine I",FA20,PSYC 193L - Psychology Laboratory Topics (B),100.0%,100.0%,4.64,A- (3.95)
"Lowe, Angela Beth",FA20,PSYC 193L - Psychology Laboratory Topics (C),84.2%,100.0%,6.50,B+ (3.41)
"Heyman, Gail D.",FA20,PSYC 194A - Honors Thesis I (A),100.0%,100.0%,7.58,A- (3.99)
"Dickenson, Janna Alene",FA20,PSYC 2 - Gen Psych:Biological Foundatns (A),76.5%,73.9%,6.36,B+ (3.43)
"Dickenson, Janna Alene",FA20,PSYC 2 - Gen Psych:Biological Foundatns (B),76.5%,70.6%,5.68,B+ (3.50)
"Pilegard, Celeste Cristine",FA20,PSYC 3 - Gen Psych:Cognitive Foundatns (A),100.0%,100.0%,3.60,B (3.08)
"Willis, Jarryd Thomas",FA20,PSYC 6 - General Psychology: Social (A),96.5%,94.7%,4.02,B+ (3.38)
"Lowe, Angela Beth",FA20,PSYC 60 - Introduction to Statistics (A),92.0%,97.5%,5.90,B (3.04)
"Lowe, Angela Beth",FA20,PSYC 60 - Introduction to Statistics (B),87.5%,95.7%,6.17,C+ (2.66)
"Steiner, Eric Tomas",FA20,PSYC 60 - Introduction to Statistics (C),93.6%,98.1%,4.83,B- (2.89)
"Steiner, Eric Tomas",FA20,PSYC 60 - Introduction to Statistics (D),78.9%,89.5%,5.97,C+ (2.38)
"Pilegard, Celeste Cristine",FA20,PSYC 70 - Research Methods in Psychology (A),95.2%,98.6%,5.70,B (3.22)
"Geller, Emma Harlan",FA20,PSYC 71 - Lab/Psych Research Methods (A),71.8%,92.3%,7.88,B+ (3.40)
"Dobkins, Karen R.",FA20,PSYC 88 - Learning Sustainable Wellbeing (A),100.0%,100.0%,1.18,N/A
"Rahimi, Babak",SP23,RELI 189 - Seminar in Religion (A),80.0%,80.0%,1.83,N/A
"Kalleres, Dayna",SP23,RELI 3 - Technoscience and Religion (A),100.0%,100.0%,1.83,A- (3.76)
"Rahimi, Babak",WI23,RELI 101 - Tools&Methods/Studyof Religion (A),100.0%,91.7%,2.50,A- (3.88)
"Kalleres, Dayna",WI23,RELI 188 - Special Topics in Religion (A),80.0%,80.0%,5.70,A- (3.88)
"Kalleres, Dayna",WI23,RELI 2 - Comparative Religions (A),94.4%,83.3%,2.62,A (4.00)
"Kalleres, Dayna",FA22,RELI 1 - Introduction to Religion (A),90.9%,100.0%,2.50,A (4.00)
"Rahimi, Babak",S122,RELI 149 - Islam in America (A),100.0%,100.0%,3.70,A- (3.98)
"Rahimi, Babak",WI22,RELI 101 - Tools&Methods/Studyof Religion (A),90.0%,90.0%,3.61,A- (3.73)
"Rahimi, Babak",WI22,RELI 188 - Special Topics in Religion (A),80.0%,90.0%,3.90,A- (3.81)
"Kalleres, Dayna",FA21,RELI 1 - Introduction to Religion (A),81.3%,75.0%,2.50,A- (3.74)
"Kalleres, Dayna",FA21,RELI 188 - Special Topics in Religion (A),100.0%,71.4%,3.50,A- (3.80)
"Rahimi, Babak",S121,RELI 149 - Islam in America (A),100.0%,100.0%,5.70,A- (3.83)
"Rahimi, Babak",SP21,RELI 101 - Tools&Methods/Studyof Religion (A),85.7%,85.7%,3.73,A- (3.95)
"Rahimi, Babak",SP21,RELI 150 - Religion and Cinema (A),92.9%,92.9%,2.96,A (4.00)
"Kalleres, Dayna",WI21,RELI 188 - Special Topics in Religion (A),80.0%,60.0%,2.90,A- (3.78)
"Kalleres, Dayna",WI21,RELI 2 - Comparative Religions (A),92.6%,84.6%,3.73,A- (3.83)
"Kalleres, Dayna",FA20,RELI 1 - Introduction to Religion (A),100.0%,100.0%,2.14,B+ (3.68)
"Kalleres, Dayna",FA20,RELI 188 - Special Topics in Religion (A),52.9%,56.3%,4.15,B+ (3.48)
"Leigh, Brian",FA22,REV 1 - First Year Experience (A),93.8%,100.0%,0.63,N/A
"Yu, Paul K L",FA22,REV 2 - Transfer Year Experience (A),85.7%,92.9%,0.79,N/A
"Lyon, Antony J.",FA22,REV 87 - First-year Seminar (A),100.0%,100.0%,3.17,N/A
"Leigh, Brian",FA21,REV 1 - First Year Experience (A),93.7%,98.4%,0.84,N/A
"Yu, Paul K L",FA21,REV 2 - Transfer Year Experience (A),92.3%,100.0%,1.27,N/A
"Yu, Paul K L",SP21,REV 12 - Science of Mindfulness (A),100.0%,100.0%,0.94,N/A
"Lipomi, Darren John",SP21,REV 88 - Succeeding in Sci Research (A),100.0%,100.0%,0.90,N/A
"Lipomi, Darren John",SP21,REV 88 - Succeeding in Sci Research (A),100.0%,100.0%,0.90,N/A
"Wilbur, Kenneth C",SP23,MGT 100 - Customer Analytics (A),78.2%,79.5%,6.97,B (3.15)
"Wilbur, Kenneth C",SP23,MGT 100 - Customer Analytics (B),77.1%,80.7%,6.99,B (3.15)
"Wilbur, Kenneth C",SP23,MGT 100 - Customer Analytics (C),75.9%,71.1%,7.70,B (3.16)
"Ehrich, Kristine R",SP23,MGT 103 - Product Marketing & Management (A),95.4%,93.8%,3.98,B (3.03)
"Ehrich, Kristine R",SP23,MGT 103 - Product Marketing & Management (B),97.2%,98.6%,3.78,B (3.14)
"Bates, Kenneth Walter",SP23,MGT 103 - Product Marketing & Management (E),89.7%,94.8%,4.09,B (3.14)
"Demill, Burritt",SP23,MGT 103 - Product Marketing & Management (F),95.4%,96.6%,4.99,B+ (3.36)
"Demill, Burritt",SP23,MGT 103 - Product Marketing & Management (G),97.5%,97.5%,4.86,B+ (3.48)
"Bates, Kenneth Walter",SP23,MGT 105 - Product Promotion & Brand Mgt (A),95.7%,89.9%,3.71,B (3.13)
"Somasundaram, Tyagarajan",SP23,MGT 112 - Global Business Strategy (A),87.0%,84.8%,4.94,B+ (3.34)
"Somasundaram, Tyagarajan",SP23,MGT 112 - Global Business Strategy (B),83.3%,86.7%,5.66,B- (3.00)
"Ehrich, Kristine R",SP23,MGT 112 - Global Business Strategy (C),95.1%,93.4%,5.35,B+ (3.42)
"Zimmermann, Carsten",SP23,MGT 112 - Global Business Strategy (D),92.6%,98.1%,4.43,A- (3.72)
"Mc Kenzie, Craig R.M.",SP23,MGT 119 - Topics in Business (A),100.0%,100.0%,4.31,B (3.08)
"Anderson, Jon Marcus",SP23,MGT 119 - Topics in Business (B),100.0%,100.0%,3.12,A- (3.99)
"Davis, Kathleen Ann",SP23,MGT 119 - Topics in Business (C),70.0%,80.0%,3.90,B+ (3.59)
"Lindenberger, Wade Douglas",SP23,MGT 12 - Personal Financial Management (A),100.0%,100.0%,3.53,A- (3.83)
"Lindenberger, Wade Douglas",SP23,MGT 12 - Personal Financial Management (B),100.0%,98.7%,3.04,A- (3.81)
"Klaas, Jeffrey David",SP23,MGT 121A - Innovation to Market A (A),93.2%,91.9%,4.26,B+ (3.49)
"Klaas, Jeffrey David",SP23,MGT 121B - Innovation to Market B (A),96.2%,100.0%,4.84,B+ (3.51)
"Krishnan, Viswanathan",SP23,MGT 128R - Business Innovation & Growth (A),87.8%,90.2%,3.91,B+ (3.43)
"Houskeeper, Robert",SP23,MGT 131A - Intermediate Accounting A (A),73.3%,73.3%,6.23,C+ (2.63)
"Houskeeper, Robert",SP23,MGT 131B - Intermediate Accounting B (A),82.1%,75.0%,5.43,B+ (3.38)
"Blakley, Bruce",SP23,MGT 132 - Auditing (A),46.2%,58.3%,6.50,B (3.14)
"Pecore, Joseph P.",SP23,MGT 133 - Advanced Cost Accounting (A),81.8%,90.0%,3.95,B+ (3.52)
"Lindenberger, Wade Douglas",SP23,MGT 136 - Advanced Accounting (A),100.0%,100.0%,6.90,B+ (3.68)
"Anderson, John Charles",SP23,MGT 147 - Not-for-profit & Govt Acct (A),95.7%,100.0%,5.05,B+ (3.54)
"Perols, Johan Lars",SP23,MGT 153 - Business Analytics (A),91.7%,91.7%,7.50,B (3.19)
"Phiroz, Zal Navroze",SP23,MGT 153 - Business Analytics (B),96.7%,96.7%,5.88,B+ (3.66)
"Bliss, Barbara Ann",SP23,MGT 158 - Real Estate & the Tech Sector (A),95.7%,100.0%,4.47,B+ (3.60)
"Campbell, Robert Harold",SP23,MGT 16 - Personal Ethics at Work (A),95.1%,92.7%,4.12,B- (2.84)
"Campbell, Robert Harold",SP23,MGT 16 - Personal Ethics at Work (B),97.6%,97.6%,3.82,B- (2.94)
"Buchanan, Harold G",SP23,MGT 16 - Personal Ethics at Work (C),97.7%,94.3%,3.53,B+ (3.30)
"Buchanan, Harold G",SP23,MGT 16 - Personal Ethics at Work (D),93.4%,94.5%,3.57,B+ (3.62)
"Sadoff, Sally",SP23,MGT 160 - Experiments in Firms (A),86.2%,93.1%,6.43,A- (3.74)
"Sadoff, Sally",SP23,MGT 160 - Experiments in Firms (B),84.8%,97.0%,6.14,A- (3.77)
"Demill, Burritt",SP23,MGT 162 - Negotiations (A),100.0%,100.0%,3.79,B+ (3.62)
"Rai, Tage S",SP23,MGT 162 - Negotiations (B),93.8%,92.3%,3.30,B+ (3.52)
"Rai, Tage S",SP23,MGT 162 - Negotiations (C),93.4%,90.8%,3.74,B+ (3.55)
"McKay, Mary A",SP23,MGT 164 - Business and Org Leadership (A),81.8%,83.3%,4.59,C+ (2.46)
"McKay, Mary A",SP23,MGT 164 - Business and Org Leadership (B),89.7%,80.5%,4.89,C+ (2.67)
"Meyer, Alison Bloomfield",SP23,MGT 164 - Business and Org Leadership (C),89.6%,89.6%,3.90,B (3.23)
"Zimmermann, Carsten",SP23,MGT 164 - Business and Org Leadership (D),91.3%,91.3%,5.94,B+ (3.49)
"Moran, Cathleen L.",SP23,MGT 166 - Corp Social Responsibility (A),60.4%,52.1%,6.50,B (3.04)
"Moran, Cathleen L.",SP23,MGT 166 - Corp Social Responsibility (B),46.2%,52.3%,8.25,B- (2.76)
"Moran, Cathleen L.",SP23,MGT 166 - Corp Social Responsibility (C),71.1%,68.4%,5.34,B- (2.93)
"Phiroz, Zal Navroze",SP23,MGT 171 - Operations Management (A),83.3%,90.0%,4.03,B+ (3.42)
"Hedges, Kathleen",SP23,MGT 172 - Business Project Management (A),94.9%,94.9%,4.22,A- (3.76)
"Royal, Rebecca",SP23,MGT 172 - Business Project Management (A),94.9%,98.0%,4.22,A- (3.76)
"Hedges, Kathleen",SP23,MGT 172 - Business Project Management (B),90.5%,97.3%,4.20,A- (3.72)
"Hayes, Sherry Lorine",SP23,MGT 173 - Project Mgt- Health Services (A),94.8%,97.4%,4.82,B+ (3.43)
"Gopal, Christopher S.",SP23,MGT 175 - Supply Chain Management (A),60.9%,52.2%,5.20,B (3.16)
"McKay, Mary A",SP23,MGT 18 - Managing Diverse Teams (D),100.0%,100.0%,4.25,N/A
"Chamberlain, Travis Dean",SP23,MGT 18 - Managing Diverse Teams (E),90.7%,96.0%,4.12,B+ (3.35)
"Bliss, Barbara Ann",SP23,MGT 180 - Business Finance (A),92.3%,98.5%,6.27,B (3.22)
"Buchanan, Harold G",SP23,MGT 181 - Enterprise Finance (A),88.9%,89.6%,5.32,B+ (3.37)
"Banerjee, Snehal",SP23,MGT 183 - Financial Investments (A),80.8%,92.3%,7.22,B+ (3.31)
"Dunn, Louis Jean",SP23,MGT 185 - Investment Banking (A),94.7%,94.7%,9.28,B+ (3.39)
"Dunn, Louis Jean",SP23,MGT 187 - New Venture Finance (A),85.2%,92.6%,4.20,B (3.28)
"Avenancio-Leon, Carlos",SP23,MGT 189 - Topics in Finance (A),86.4%,90.9%,4.31,B+ (3.51)
"Wagner, Timothy Ryan",SP23,MGT 3 - Quant Methods in Business (A),83.3%,91.7%,6.33,C+ (2.53)
"Levkoff, Steven B.",SP23,MGT 4 - Financial Accounting (A),66.7%,66.7%,5.83,N/A
"Pecore, Joseph P.",SP23,MGT 45 - Principles of Accounting (B),93.2%,97.7%,6.68,B- (2.97)
"Pecore, Joseph P.",SP23,MGT 45 - Principles of Accounting (C),95.3%,100.0%,6.36,B- (2.96)
"Houskeeper, Robert",SP23,MGT 5 - Managerial Accounting (A),77.2%,73.2%,4.74,C+ (2.38)
"Deal, Jennifer Jean",SP23,MGT 52 - Test & Measurement at Work (A),76.5%,80.6%,3.79,B+ (3.40)
"Phiroz, Zal Navroze",SP23,MGT 71 - Business & Operations Mgt (A),67.6%,91.7%,5.99,A- (3.71)
"Yavorsky, Daniel Ryan",WI23,MGT 100 - Customer Analytics (A),97.2%,100.0%,6.33,B+ (3.58)
"Ehrich, Kristine R",WI23,MGT 103 - Product Marketing & Management (A),81.8%,84.8%,4.74,B- (2.74)
"Ehrich, Kristine R",WI23,MGT 103 - Product Marketing & Management (B),91.7%,91.7%,3.75,B- (2.98)
"Eberhard, Craig A",WI23,MGT 103 - Product Marketing & Management (C),100.0%,80.0%,2.90,N/A
"Eberhard, Craig A",WI23,MGT 103 - Product Marketing & Management (D),100.0%,100.0%,3.75,B+ (3.42)
"Eberhard, Craig A",WI23,MGT 103 - Product Marketing & Management (E),98.0%,96.1%,3.64,B (3.26)
"Bates, Kenneth Walter",WI23,MGT 103 - Product Marketing & Management (F),96.2%,97.5%,4.04,B (3.04)
"Bates, Kenneth Walter",WI23,MGT 103 - Product Marketing & Management (G),98.6%,100.0%,4.44,B- (2.99)
"Demill, Burritt",WI23,MGT 103 - Product Marketing & Management (H),98.8%,98.8%,4.62,B+ (3.48)
"Gershon, Rachel M",WI23,MGT 107 - Consumer Behavior (A),96.9%,93.8%,4.44,A- (3.75)
"Gershon, Rachel M",WI23,MGT 107 - Consumer Behavior (B),100.0%,100.0%,3.56,A- (3.74)
"Somasundaram, Tyagarajan",WI23,MGT 112 - Global Business Strategy (A),72.3%,70.8%,5.95,B (3.28)
"Somasundaram, Tyagarajan",WI23,MGT 112 - Global Business Strategy (B),79.4%,72.1%,7.00,B (3.16)
"Ehrich, Kristine R",WI23,MGT 112 - Global Business Strategy (C),100.0%,100.0%,5.64,B+ (3.54)
"Marechal, Michel Andre",WI23,MGT 112 - Global Business Strategy (D),100.0%,100.0%,7.83,N/A
"Marechal, Michel Andre",WI23,MGT 112 - Global Business Strategy (E),100.0%,100.0%,6.50,N/A
"Marechal, Michel Andre",WI23,MGT 112 - Global Business Strategy (F),100.0%,100.0%,3.00,N/A
"Felke, Magnus Roland",WI23,MGT 119 - Topics in Business (A),94.7%,97.4%,4.03,B+ (3.59)
"Pecore, Joseph P.",WI23,MGT 12 - Personal Financial Management (A),96.8%,96.8%,2.63,B+ (3.41)
"Pecore, Joseph P.",WI23,MGT 12 - Personal Financial Management (B),96.0%,100.0%,2.75,B+ (3.54)
"Klaas, Jeffrey David",WI23,MGT 121A - Innovation to Market A (A),93.2%,91.8%,4.31,B (3.27)
"Zhu, Kevin Xiaoguo",WI23,MGT 127 - Innovation and Tech Strategy (A),75.6%,80.8%,4.19,B+ (3.63)
"Houskeeper, Robert",WI23,MGT 131A - Intermediate Accounting A (A),82.0%,74.0%,6.46,C+ (2.35)
"Houskeeper, Robert",WI23,MGT 131B - Intermediate Accounting B (A),96.3%,88.9%,5.65,B- (2.92)
"Anderson, John Charles",WI23,MGT 135 - Federal Taxation-Companies (A),92.0%,100.0%,6.10,B (3.21)
"Lindenberger, Wade Douglas",WI23,MGT 136 - Advanced Accounting (A),98.2%,98.2%,5.37,B+ (3.69)
"Floyd, Eric",WI23,MGT 137 - Financial Statement Analysis (A),95.2%,95.2%,5.36,A- (3.74)
"Deiotte, James T.",WI23,MGT 148 - Mergers and Acquisitions (A),100.0%,97.2%,4.61,A- (3.82)
"Perols, Johan Lars",WI23,MGT 153 - Business Analytics (A),90.0%,100.0%,8.50,B (3.17)
"Phiroz, Zal Navroze",WI23,MGT 153 - Business Analytics (B),88.2%,91.2%,4.50,A- (3.73)
"Campbell, Robert Harold",WI23,MGT 16 - Personal Ethics at Work (A),94.6%,94.6%,4.44,B (3.09)
"Campbell, Robert Harold",WI23,MGT 16 - Personal Ethics at Work (B),100.0%,95.1%,3.87,B (3.20)
"Campbell, Robert Harold",WI23,MGT 16 - Personal Ethics at Work (C),81.8%,87.3%,3.86,B- (2.95)
"Buchanan, Harold G",WI23,MGT 16 - Personal Ethics at Work (D),94.8%,93.5%,3.77,B+ (3.36)
"Buchanan, Harold G",WI23,MGT 16 - Personal Ethics at Work (E),97.9%,97.9%,3.41,B+ (3.53)
"Lindenberger, Wade Douglas",WI23,MGT 16 - Personal Ethics at Work (F),98.7%,100.0%,4.53,A- (3.84)
"Samek, Anya",WI23,MGT 160 - Experiments in Firms (A),96.8%,93.5%,4.44,B+ (3.56)
"Samek, Anya",WI23,MGT 160 - Experiments in Firms (B),90.5%,90.5%,4.21,B+ (3.39)
"Demill, Burritt",WI23,MGT 162 - Negotiations (A),95.6%,100.0%,3.31,B+ (3.57)
"Gneezy, Uri",WI23,MGT 162R - Negotiations (A),100.0%,96.7%,3.40,B+ (3.70)
"McKay, Mary A",WI23,MGT 164 - Business and Org Leadership (A),76.5%,70.6%,6.28,C+ (2.44)
"McKay, Mary A",WI23,MGT 164 - Business and Org Leadership (B),72.0%,76.0%,6.42,B- (2.70)
"Meyer, Alison Bloomfield",WI23,MGT 164 - Business and Org Leadership (C),91.3%,94.2%,4.88,B+ (3.52)
"Zimmermann, Carsten",WI23,MGT 164 - Business and Org Leadership (D),95.8%,95.8%,5.46,B+ (3.47)
"Moran, Cathleen L.",WI23,MGT 166 - Corp Social Responsibility (A),74.0%,72.0%,5.85,B- (2.88)
"Moran, Cathleen L.",WI23,MGT 166 - Corp Social Responsibility (B),65.2%,71.7%,5.67,B- (2.88)
"Moran, Cathleen L.",WI23,MGT 166 - Corp Social Responsibility (C),82.6%,78.3%,5.02,B (3.14)
"Jacob, Jo Dee C",WI23,MGT 167 - Social Entrepreneurship (A),96.4%,100.0%,3.71,B+ (3.49)
"Phiroz, Zal Navroze",WI23,MGT 171 - Operations Management (A),84.0%,95.8%,3.08,B+ (3.60)
"Hedges, Kathleen",WI23,MGT 172 - Business Project Management (A),93.2%,98.9%,4.09,B+ (3.57)
"Royal, Rebecca",WI23,MGT 172 - Business Project Management (A),93.2%,98.9%,4.09,B+ (3.57)
"Hedges, Kathleen",WI23,MGT 172 - Business Project Management (B),95.1%,97.5%,4.68,A- (3.74)
"Zimmermann, Carsten",WI23,MGT 172 - Business Project Management (C),88.4%,88.4%,3.36,B+ (3.56)
